,open,close,high,low
2017-06-13,6628.642,6623.66,6634.217,6589.592
2017-06-14,6589.464,6507.133,6589.464,6492.151
2017-06-15,6497.788,6467.054,6516.503,6442.089
2017-06-16,6453.257,6437.654,6485.117,6425.86
2017-06-19,6447.081,6525.678,6528.929,6446.254
2017-06-20,6539.393,6509.734,6546.72,6494.281
2017-06-21,6546.031,6585.011,6585.317,6494.698
2017-06-22,6575.084,6637.783,6720.156,6574.236
2017-06-23,6625.737,6706.361,6708.263,6591.408
2017-06-26,6711.855,6763.54,6811.733,6711.855
2017-06-27,6758.73,6791.724,6797.743,6722.956
2017-06-28,6771.451,6747.903,6809.515,6746.745
2017-06-29,6758.531,6791.137,6794.412,6736.007
2017-06-30,6761.857,6784.366,6791.475,6744.939
2017-07-03,6781.818,6738.021,6782.75,6711.181
2017-07-04,6731.733,6669.341,6731.902,6648.562
2017-07-05,6647.476,6759.632,6766.777,6645.979
2017-07-06,6751.108,6778.186,6796.084,6717.862
2017-07-07,6749.429,6751.185,6764.108,6714.98
2017-07-10,6732.068,6760.982,6787.784,6722.613
2017-07-11,6746.167,6844.003,6896.726,6745.181
2017-07-12,6847.806,6824.695,6931.12,6797.359
2017-07-13,6821.516,6905.478,6906.849,6815.705
2017-07-14,6899.353,6961.262,6961.305,6883.787
2017-07-17,6971.285,6993.918,7066.239,6894.467
2017-07-18,6962.5,6972.752,7004.52,6894.905
2017-07-19,6960.521,7045.828,7065.681,6955.534
2017-07-20,7033.631,7070.71,7071.924,7004.137
2017-07-21,7045.558,7002.033,7056.587,6989.894
2017-07-24,6993.285,7040.455,7072.439,6976.932
2017-07-25,7042.728,7006.749,7071.599,6998.444
2017-07-26,7006.547,6973.035,7066.446,6927.447
2017-07-27,6961.14,6944.298,6961.14,6890.933
2017-07-28,6928.59,6960.351,6973.941,6909.44
2017-07-31,6956.058,6956.276,6978.146,6921.184
2017-08-01,6962.479,7062.639,7062.825,6956.167
2017-08-02,7059.162,7046.52,7094.199,7042.218
2017-08-03,7035.218,6947.785,7064.162,6938.129
2017-08-04,6943.518,6901.053,6960.778,6899.214
2017-08-07,6887.715,6923.092,6940.334,6853.116
2017-08-08,6915.417,6910.075,6927.314,6885.973
2017-08-09,6899.999,6868.836,6903.91,6864.951
2017-08-10,6862.523,6840.981,6904.537,6785.349
2017-08-11,6786.306,6722.579,6808.578,6708.519
2017-08-14,6727.706,6759.691,6775.596,6717.724
2017-08-15,6766.294,6801.604,6842.296,6764.803
2017-08-16,6793.142,6771.636,6793.874,6747.201
2017-08-17,6779.755,6797.517,6800.309,6764.287
2017-08-18,6785.6,6830.357,6854.737,6771.936
2017-08-21,6843.334,6851.078,6862.959,6831.54
2017-08-22,6874.48,6924.174,6925.694,6866.267
2017-08-23,6920.487,6965.776,6994.899,6913.683
2017-08-24,6966.26,6947.435,7010.874,6936.289
2017-08-25,6950.182,7093.783,7095.22,6950.182
2017-08-28,7118.832,7160.774,7238.27,7118.832
2017-08-29,7152.435,7168.547,7180.746,7133.002
