,0,1
725,600569.XSHG,4.05
726,002839.XSHE,5.69
727,603299.XSHG,6.29
728,002195.XSHE,4.72
729,300446.XSHE,15.77
730,603929.XSHG,21.98
731,000788.XSHE,6.01
732,002064.XSHE,4.33
733,600866.XSHG,3.9
734,601888.XSHG,62.3
735,002398.XSHE,5.11
736,601991.XSHG,3.14
737,002372.XSHE,16.84
738,600598.XSHG,10.13
739,002602.XSHE,32.5
740,600680.XSHG,7.69
741,002022.XSHE,11.27
742,601218.XSHG,2.52
743,600178.XSHG,4.68
744,000833.XSHE,4.96
745,002099.XSHE,4.92
746,300415.XSHE,6.98
747,600358.XSHG,4.22
748,002158.XSHE,8.95
749,000979.XSHE,0.83
750,000777.XSHE,10.54
751,002534.XSHE,6.16
752,002410.XSHE,31.15
753,000046.XSHE,5.74
754,000581.XSHE,18.93
755,002648.XSHE,10.48
756,603380.XSHG,15.85
757,002456.XSHE,16.0
758,002786.XSHE,6.44
759,000551.XSHE,5.6
760,300733.XSHE,15.42
761,300720.XSHE,26.41
762,300602.XSHE,41.1
763,603118.XSHG,5.58
764,300512.XSHE,14.17
765,603595.XSHG,56.38
766,000819.XSHE,10.02
767,002007.XSHE,35.38
768,000783.XSHE,5.01
769,000897.XSHE,2.51
770,002801.XSHE,21.77
771,000856.XSHE,12.5
772,600079.XSHG,11.75
773,002238.XSHE,6.09
774,300528.XSHE,9.7
775,601600.XSHG,4.06
776,002180.XSHE,25.08
777,600604.XSHG,4.0
778,600127.XSHG,3.33
779,002869.XSHE,21.29
780,300325.XSHE,3.38
781,300010.XSHE,8.07
782,000663.XSHE,7.06
783,300100.XSHE,9.29
784,002209.XSHE,6.63
785,002336.XSHE,8.4
786,002404.XSHE,5.24
787,002608.XSHE,6.9
788,300474.XSHE,49.13
789,000713.XSHE,6.08
790,002461.XSHE,4.56
791,603039.XSHG,95.5
792,000680.XSHE,3.57
793,300026.XSHE,3.57
794,002524.XSHE,5.17
795,600882.XSHG,8.22
796,603966.XSHG,8.79
797,000638.XSHE,4.96
798,002494.XSHE,6.23
799,600126.XSHG,4.79
800,002259.XSHE,2.73
801,601928.XSHG,6.07
802,002862.XSHE,17.04
803,300393.XSHE,15.24
804,300567.XSHE,74.2
805,300149.XSHE,16.1
806,603100.XSHG,8.7
807,000968.XSHE,12.06
808,600050.XSHG,5.47
809,600338.XSHG,22.35
810,600550.XSHG,3.98
811,601519.XSHG,3.64
812,000016.XSHE,4.08
813,600689.XSHG,8.69
814,000026.XSHE,7.43
815,600422.XSHG,7.23
816,600292.XSHG,5.69
817,002493.XSHE,11.43
818,300698.XSHE,16.88
819,300486.XSHE,14.01
820,300304.XSHE,3.73
821,300713.XSHE,27.39
822,002769.XSHE,9.69
823,002539.XSHE,4.54
824,603056.XSHG,22.83
825,300650.XSHE,14.74
826,600203.XSHG,4.94
827,002006.XSHE,6.39
828,002016.XSHE,10.34
829,600278.XSHG,10.23
830,002919.XSHE,32.21
831,002473.XSHE,6.0
832,000990.XSHE,14.11
833,603920.XSHG,13.39
834,002103.XSHE,4.42
