,symbol,special_type,shenwan_industry,status
002679.XSHE,福建金森,Normal,801010.INDX,Active
603633.XSHG,徕木股份,Normal,801080.INDX,Active
600757.XSHG,长江传媒,Normal,801760.INDX,Active
002577.XSHE,雷柏科技,Normal,801750.INDX,Active
600586.XSHG,金晶科技,Normal,801710.INDX,Active
601579.XSHG,会稽山,Normal,801120.INDX,Active
000530.XSHE,大冷股份,Normal,801890.INDX,Active
600868.XSHG,梅雁吉祥,Normal,801160.INDX,Active
300592.XSHE,华凯创意,Normal,801720.INDX,Active
601318.XSHG,中国平安,Normal,801790.INDX,Active
300282.XSHE,三盛教育,Normal,801080.INDX,Active
002120.XSHE,韵达股份,Normal,801170.INDX,Active
000552.XSHE,靖远煤电,Normal,801020.INDX,Active
300637.XSHE,扬帆新材,Normal,801030.INDX,Active
603559.XSHG,中通国脉,Normal,801770.INDX,Active
300360.XSHE,炬华科技,Normal,801730.INDX,Active
002205.XSHE,国统股份,Normal,801710.INDX,Active
600205.XSHG,S山东铝,Normal,,Delisted
603326.XSHG,我乐家居,Normal,801140.INDX,Active
002686.XSHE,亿利达,Normal,801890.INDX,Active
600773.XSHG,西藏城投,Normal,801180.INDX,Active
600243.XSHG,青海华鼎,Normal,801890.INDX,Active
000811.XSHE,冰轮环境,Normal,801890.INDX,Active
000816.XSHE,*ST慧业,StarST,801890.INDX,Active
300137.XSHE,先河环保,Normal,801160.INDX,Active
002078.XSHE,太阳纸业,Normal,801140.INDX,Active
600073.XSHG,上海梅林,Normal,801120.INDX,Active
000733.XSHE,振华科技,Normal,801080.INDX,Active
002249.XSHE,大洋电机,Normal,801730.INDX,Active
300383.XSHE,光环新网,Normal,801770.INDX,Active
002590.XSHE,万安科技,Normal,801880.INDX,Active
002060.XSHE,粤水电,Normal,801720.INDX,Active
300485.XSHE,赛升药业,Normal,801150.INDX,Active
000520.XSHE,长航凤凰,Normal,801170.INDX,Active
000839.XSHE,中信国安,Normal,801230.INDX,Active
300562.XSHE,乐心医疗,Normal,801150.INDX,Active
603596.XSHG,伯特利,Normal,801880.INDX,Active
300021.XSHE,大禹节水,Normal,801010.INDX,Active
002451.XSHE,摩恩电气,Normal,801730.INDX,Active
002835.XSHE,同为股份,Normal,801750.INDX,Active
600070.XSHG,浙江富润,Normal,801230.INDX,Active
002530.XSHE,金财互联,Normal,801750.INDX,Active
000421.XSHE,南京公用,Normal,801160.INDX,Active
600239.XSHG,云南城投,Normal,801180.INDX,Active
600269.XSHG,赣粤高速,Normal,801170.INDX,Active
600722.XSHG,金牛化工,Normal,801030.INDX,Active
300607.XSHE,拓斯达,Normal,801890.INDX,Active
002829.XSHE,星网宇达,Normal,801740.INDX,Active
600636.XSHG,三爱富,Normal,801030.INDX,Active
601818.XSHG,光大银行,Normal,801780.INDX,Active
300509.XSHE,新美星,Normal,801890.INDX,Active
603658.XSHG,安图生物,Normal,801150.INDX,Active
002503.XSHE,搜于特,Normal,801130.INDX,Active
600698.XSHG,湖南天雁,Normal,801880.INDX,Active
603277.XSHG,银都股份,Normal,801890.INDX,Active
000851.XSHE,高鸿股份,Normal,801770.INDX,Active
603113.XSHG,金能科技,Normal,801020.INDX,Active
603730.XSHG,岱美股份,Normal,801880.INDX,Active
600518.XSHG,康美药业,Normal,801150.INDX,Active
300186.XSHE,大华农,Normal,,Delisted
603019.XSHG,中科曙光,Normal,801750.INDX,Active
300285.XSHE,国瓷材料,Normal,801030.INDX,Active
603077.XSHG,和邦生物,Normal,801030.INDX,Active
002345.XSHE,潮宏基,Normal,801140.INDX,Active
600813.XSHG,ST鞍一工,ST,,Delisted
600119.XSHG,长江投资,Normal,801170.INDX,Active
002417.XSHE,深南股份,Normal,801770.INDX,Active
000738.XSHE,航发控制,Normal,801740.INDX,Active
600249.XSHG,两面针,Normal,801030.INDX,Active
002463.XSHE,沪电股份,Normal,801080.INDX,Active
603896.XSHG,寿仙谷,Normal,801150.INDX,Active
600486.XSHG,扬农化工,Normal,801030.INDX,Active
000673.XSHE,当代东方,Normal,801760.INDX,Active
600108.XSHG,亚盛集团,Normal,801010.INDX,Active
600700.XSHG,*ST数码,StarST,,Delisted
002262.XSHE,恩华药业,Normal,801150.INDX,Active
002010.XSHE,传化智联,Normal,801170.INDX,Active
603027.XSHG,千禾味业,Normal,801120.INDX,Active
002294.XSHE,信立泰,Normal,801150.INDX,Active
002649.XSHE,博彦科技,Normal,801750.INDX,Active
000793.XSHE,华闻传媒,Normal,801760.INDX,Active
600251.XSHG,冠农股份,Normal,801010.INDX,Active
300447.XSHE,全信股份,Normal,801730.INDX,Active
002208.XSHE,合肥城建,Normal,801180.INDX,Active
000687.XSHE,华讯方舟,Normal,801770.INDX,Active
600415.XSHG,小商品城,Normal,801200.INDX,Active
002589.XSHE,瑞康医药,Normal,801150.INDX,Active
300747.XSHE,锐科激光,Normal,801080.INDX,Active
300534.XSHE,陇神戎发,Normal,801150.INDX,Active
002181.XSHE,粤传媒,Normal,801760.INDX,Active
000543.XSHE,皖能电力,Normal,801160.INDX,Active
300134.XSHE,大富科技,Normal,801770.INDX,Active
002380.XSHE,科远股份,Normal,801750.INDX,Active
600611.XSHG,大众交通,Normal,801170.INDX,Active
600499.XSHG,科达洁能,Normal,801890.INDX,Active
002491.XSHE,通鼎互联,Normal,801770.INDX,Active
600816.XSHG,安信信托,Normal,801790.INDX,Active
601633.XSHG,长城汽车,Normal,801880.INDX,Active
002075.XSHE,沙钢股份,Normal,801040.INDX,Active
600028.XSHG,中国石化,Normal,801030.INDX,Active
603239.XSHG,浙江仙通,Normal,801880.INDX,Active
600507.XSHG,方大特钢,Normal,801040.INDX,Active
002752.XSHE,昇兴股份,Normal,801140.INDX,Active
603663.XSHG,三祥新材,Normal,801050.INDX,Active
600170.XSHG,上海建工,Normal,801720.INDX,Active
600220.XSHG,江苏阳光,Normal,801130.INDX,Active
600004.XSHG,白云机场,Normal,801170.INDX,Active
002360.XSHE,同德化工,Normal,801030.INDX,Active
600436.XSHG,片仔癀,Normal,801150.INDX,Active
600843.XSHG,上工申贝,Normal,801890.INDX,Active
300732.XSHE,设研院,Normal,801720.INDX,Active
002585.XSHE,双星新材,Normal,801140.INDX,Active
600080.XSHG,金花股份,Normal,801150.INDX,Active
002039.XSHE,黔源电力,Normal,801160.INDX,Active
603991.XSHG,至正股份,Normal,801030.INDX,Active
002652.XSHE,扬子新材,Normal,801710.INDX,Active
